"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"90","PDGFRb","diencephalon","0.00452721213689778","0.194017509868535","0.337325813434783","0.218017920739893","0.119948272058328","-0.389973897701213","-0.636830255226745","-0.600114597398322","-0.1306887841061","0.0844114243846019","0.335632140024474","0.310034156312578","0.112868069533962"
"91","PDGFRb","midbrain","0.142098516113518","0.247959139318081","0.312982975199455","0.172541993579092","0.0840906768303362","-0.264090067638504","-0.611431749303802","-0.605024131342825","-0.57908308871448","-0.0677814094708636","0.178710431126967","0.279530483705819","0.560218700096587"
"92","PDGFRb","hindbrain","0.0111607341429394","0.0965254407125886","0.106903784774232","-0.163477616738911","-0.353201311367073","-0.288020586987506","0.0292505063834787","0.105302039293646","0.400282657306466","0.176969667084646","-0.017371501217476","-0.108381605789909","-0.0835109470981689"
"93","PECAM1","telencephalon","0.319169528637779","0.276072890507519","-0.0437722190847746","-0.567999875612375","-0.384945684078219","-0.46514314454115","-0.0354589364825744","0.154958358687446","0.126874298879772","0.43586769211987","-0.0899135090254036","0.0283283315686863","0.0286743787787565"
"94","PECAM1","diencephalon","0.1313857542948","0.153974641687002","0.0613602698240638","-0.0916750848967354","0.168746117334464","-0.269052919112484","-0.250374115576532","-0.420226449720054","-0.332435866486821","0.19376394657663","-0.139703219897907","0.308989302664813","0.292223349813474"
"95","PECAM1","midbrain","0.211034248657935","0.198140414464188","0.164405820320733","0.14370295607818","0.153574841898972","-0.175523696238201","-0.675510369103007","-0.570609595484213","-0.196686270217742","-0.209184396762479","-0.296987377451558","0.119215787929866","0.658876589223891"
"96","PECAM1","hindbrain","-0.0250837396538749","-0.205255039069755","-0.494855293668431","-0.4814852587294","0.0853195298209839","0.233657204792177","0.772758942724827","0.597266473928204","0.281122690249882","0.00354483431348699","-0.41669708402389","-0.227337413993255","-0.216417644730713"
"97","Prominin","telencephalon","-0.0933064377296914","-0.211194969998567","-0.225535437968852","-0.0814404008146961","-0.0205879720003497","0.407505318872438","0.939575453061586","0.246746350134827","-0.204238886585742","-0.388458637464721","-0.246269491582429","-0.230532753034048","-0.0135251231655473"
"98","Prominin","diencephalon","0.34042844773324","-0.0927984091250457","-0.461137519729622","-0.571745400404763","-0.452095232885851","0.104048835559482","0.81242450014425","0.468325553684828","0.0635857366250547","-0.165704490127864","-0.163446521195159","-0.191601058039219","-0.0309222738883157"
"99","Prominin","midbrain","0.153725612599978","-0.222714019154372","-0.401485037656208","-0.385322699888466","-0.351560165274915","0.117626090870128","0.856804720211646","0.56669998335149","0.0386746328052578","-0.135216685661621","-0.117398388569112","-0.257538969589282","-0.0386289276082436"
"100","Prominin","hindbrain","0.477848881472372","0.20391466020602","-0.156787184609968","-0.205069463827624","-0.422583882565377","-0.811238165416772","-0.156784731426752","0.381631403414243","0.263626224006046","0.151711973534716","0.14887245523937","0.0342798711425403","-0.0430233427933405"
"101","Sox1","telencephalon","-0.0298655630123171","0.0361647993738903","-0.0230799529314567","-0.0426018526342877","0.323884941702169","0.208350245930375","0.164523368065814","0.133144787966479","-0.417507098640754","-0.699377835376461","-0.262907459764434","-0.148196458688884","0.408111482811049"
"102","Sox1","diencephalon","-0.114750062807461","-0.134259463088935","-0.403959870738505","-0.378727301439947","0.0701498953952156","0.462133774013319","0.858046957637045","0.682256189494522","0.181418363165758","-0.078277994791742","-0.310792201229584","-0.380414097486669","-0.205403134593822"
"103","Sox1","midbrain","0.679156573143842","0.138928126999901","-0.344297795223591","-0.399338373899711","-0.610872501031793","-0.241014489664111","-0.2383105400172","-0.0566022885628302","0.302267861309526","0.200181963234839","0.188252747820531","0.0835876401259824","0.00872743897520526"
"104","Sox1","hindbrain","-0.0711464049779042","0.0534023969877448","0.540905348468695","0.434251141110117","-0.132614522714651","-0.580630740897059","-0.807379092340912","-0.323684735634287","0.289677720559401","0.340339115272827","0.20382895651511","0.083789406658331","0.00463743842582457"
"105","Sox10","telencephalon","0.378783693005404","0.50513240420219","0.308372527904553","-0.00394987654496409","-0.363470726691734","-0.676701131731615","-0.867744077539295","-0.682529433013678","-0.172105780823104","0.143432662751118","0.355150606277731","0.356402073959355","0.337257393840022"
"106","Sox10","diencephalon","-0.298238055739067","-0.165566236973522","0.189250212862233","0.502554381425407","0.578204705714892","0.308929373984758","-0.130247694398669","-0.426242612033268","-0.452805933663619","-0.369224585541976","-0.117422997263006","0.0825809322044138","0.274846658223921"
"107","Sox10","midbrain","-0.179760812380885","-0.0956979265017249","0.0127713009002021","0.177579547880459","0.387145012066447","0.468406389447606","0.412296593149236","-0.187081710259309","-0.653737681246219","-0.496644610510302","-0.311998341116365","-0.0161108492272801","0.399890762005018"
"108","Sox10","hindbrain","0.0644316477311887","0.070573329639995","-0.0232008856647372","-0.350568023936774","-0.159001947920801","-0.0363281477724188","0.244504071069567","-0.0502736659830535","0.294613527274842","-0.00917608342566178","0.176058296835086","-0.276389301640826","0.0104437388247458"
